sourceName,sourceElo,sourceDate,sourceNote
Argentina,1992,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
France,1984,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Brazil,1962,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
England,1950,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Spain,1943,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Portugal,1922,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Netherlands,1914,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Germany,1908,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Italy,1886,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Croatia,1870,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Belgium,1868,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Uruguay,1860,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Colombia,1852,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Morocco,1816,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
United States,1812,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Switzerland,1808,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Denmark,1802,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Mexico,1796,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Japan,1790,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Senegal,1778,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
South Korea,1766,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Ecuador,1760,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Poland,1744,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Serbia,1738,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Australia,1718,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Canada,1710,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Nigeria,1702,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Ghana,1686,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Saudi Arabia,1668,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Qatar,1650,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
Costa Rica,1640,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
New Zealand,1612,2026-06-01,SYNTHETIC FIXTURE DATA - not real Elo
