sourceName,sourceElo,sourceDate,sourceNote
Australia,1839,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Iran,1756,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Iraq,1592,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Japan,1910,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Jordan,1653,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Qatar,1437,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Saudi Arabia,1598,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
South Korea,1786,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Uzbekistan,1698,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Algeria,1759,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Cape Verde,1606,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
DR Congo,1674,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Egypt,1711,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Ghana,1557,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Ivory Coast,1743,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Morocco,1840,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Senegal,1839,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
South Africa,1527,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Tunisia,1585,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Canada,1777,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Curaçao,1427,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Haiti,1536,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Mexico,1881,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Panama,1683,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
United States,1780,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Argentina,2128,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Brazil,1978,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Colombia,1998,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Ecuador,1890,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Paraguay,1780,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Uruguay,1870,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
New Zealand,1578,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Austria,1857,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Belgium,1879,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Bosnia and Herzegovina,1596,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Croatia,1881,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Czechia,1696,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
England,2055,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
France,2084,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Germany,1939,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Netherlands,1944,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Norway,1929,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Portugal,1967,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Scotland,1794,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
Spain,2129,2026-06-18,Development snapshot from World Football Elo Ratings during ongoing 2026 World Cup group stage; refresh after group stage before final knockout use.
